session_id,user_id,receipt_hash,merkle_root,energy_kwh,import_kwh,export_kwh,net_kwh,start_ts,end_ts,batch_day,batch_root
research_20260521_1000-0001,user-002,0x560e11b3a43121085ff7085f07432560da6b2ac4f15ff351a8113097c945d281,0x9a11397e0bc4c66c85ec51bac339fead65a34d0b9270688a166bff7a9a462e50,3.404,4.028,0.624,3.404,2026-05-21T23:22:59.070749Z,2026-05-22T00:02:59.070749Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0002,user-004,0x477ea2d9856b821f0a193e95efc8cdb41bfb5e420115a205bbb9348f7816ae47,0x3aa1c593a6ec26aba4e4c66ace0ebfc4a084cab241b68f307a6da1e1aae7fc06,4.893,4.893,0.0,4.893,2026-05-21T13:12:08.338401Z,2026-05-21T13:52:08.338401Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0003,user-008,0x1ea9441573be9488b00b92bcf7e77f1d296c24d7f47f6cbd8c6c7bb388ae2038,0xac17f828a4db5214aff1b6246c6663bc7bd40840d518976c53dcf1edcdcf1a06,7.318,7.318,0.0,7.318,2026-05-21T11:06:49.892898Z,2026-05-21T12:06:49.892898Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0004,user-006,0x78aad0c01acc70300081573179b89de0dc905815c2c13a09382ee3957ae7d97f,0x06ab5ed4f3f811744c6fda00d5da36f112453f1cf5cf7e6e6e97247024a3ce79,15.207,15.207,0.0,15.207,2026-05-21T18:57:18.592541Z,2026-05-21T19:37:18.592541Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0005,user-001,0xe4fda9dc14935ead98d2a3bed252ddb90ed0787187c1e9c8df2c00d34873e86c,0x99877797a1a17dd52cb75d9b8e7438990fcaf276fdf1a130ad34ed468ba1bfe7,-3.741,0.0,3.741,-3.741,2026-05-21T18:29:10.246582Z,2026-05-21T18:49:10.246582Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0006,user-008,0x4d32fb25882a397fc060796283fd210a9f8a55ff11404f282e5753707815718b,0x4323d05efb4efdca5b1f4e126f9ca839dd010b23e3b3524fa85dcde3f9d96473,3.466,3.466,0.0,3.466,2026-05-21T20:33:15.894586Z,2026-05-21T21:03:15.894586Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0007,user-001,0xfea7952d21fee8883dd06d348e29af3fe3497f7933d0163195a9731ff4f53ae1,0x207de957cc5c9ceb9c5a91b1af1090c05a22280ccd2fb501e8e9c642831b6036,0.471,5.582,5.111,0.471,2026-05-21T03:19:00.708605Z,2026-05-21T03:49:00.708605Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0008,user-009,0xf50e0fa695e1cf2b679ec5d02ceff1abe0f99a118a5567b907a9a83426a83712,0x407193c539d819902d2d8613d8f6df868b118d2f038d04ce491a5582d754c0f9,2.666,3.714,1.048,2.666,2026-05-21T05:57:44.158115Z,2026-05-21T06:37:44.158115Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0009,user-006,0x35dab6de5405abaad88eae44a3679d50f66d200ac21c817d293382e68c2c0936,0xf8c32b7b8623ee0c3729557e9d45778b460ff7ed7bf898d21aeaac72100b5c85,27.805,27.805,0.0,27.805,2026-05-21T05:40:59.066874Z,2026-05-21T06:55:59.066874Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0010,user-010,0xde74464baacff8269a616ac235d6bd320124331f8727e9ca67d47f718fde6dce,0xc69439a1f0c1e5901308fd4a4d21a8d80a807e33ac4cb6c59f8e81890c7f355d,10.482,10.482,0.0,10.482,2026-05-21T13:49:40.881967Z,2026-05-21T14:19:40.881967Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0011,user-006,0x85117b9c3cc9e28d601ff7b66fb4984c4a58f8b9f504f2469c5bd8b0647ba5cf,0x1d2b1e26c02df043ecb87a40099d0b02f767f0f08c6813af3dbaf14834b17299,8.959,8.959,0.0,8.959,2026-05-21T23:28:42.639935Z,2026-05-22T00:43:42.639935Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0012,user-002,0x0ba3131b66adfbabd0e52598bcc19a395ebb791c2633b54738ff9c2d6815bc71,0xe85f739bad7d998978155c3092124de6f94729e507578aeb59744d41811138ba,-7.311,0.0,7.311,-7.311,2026-05-21T08:10:03.890442Z,2026-05-21T08:50:03.890442Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0013,user-007,0x8723c6d8d6f05a5b0a905b23a3653e90cda76297291a5e8fea2a62330367cd0f,0x477aa5bd5093b58a02dca76b22201498df81f0fbf11dc673ac149b893eeb8bf8,7.205,7.205,0.0,7.205,2026-05-21T19:34:46.633708Z,2026-05-21T20:34:46.633708Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0014,user-001,0xf80a1200d4ed000aae2620bb0460ea0b9c72fbb2208fc58e4d339179b4e2f866,0x055fa2419ec67c6156f9358b8a5aa36bb375a71258de220c805275ad34004d7c,-0.141,3.852,3.993,-0.141,2026-05-21T00:20:09.315897Z,2026-05-21T01:00:09.315897Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0015,user-002,0xbf5592ae64442ac399cb590f2d25667ad95daee54a711cab21f96e9baa607c85,0x22d48e5df4720bd1ceb34f329da19f187734597551a2f31de0e5e64274d3d57b,3.936,6.033,2.097,3.936,2026-05-21T03:33:04.004082Z,2026-05-21T03:53:04.004082Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0016,user-010,0xbf322474cbd319fbe36a6e9b5fcaa8626e3c3df5355d5be9f02acce379fe8658,0x011c4c05ba29185225f141f87f0ad9068cb4831959bfd3d5748b0b758b17382d,4.855,4.855,0.0,4.855,2026-05-21T11:26:11.573378Z,2026-05-21T12:06:11.573378Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0017,user-002,0xd5555b6c887d9b4482cd1eee7cf81be6fd0958ac5eb07777d8209b7e3f19ce7c,0xcc80aee8e419c6f963baf00fcbfcc12af857e59b8e6efb9ad6f12b47fc1bff4d,2.972,8.628,5.656,2.972,2026-05-21T11:04:48.387486Z,2026-05-21T12:19:48.387486Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0018,user-004,0xd512cd4f1bc0dd8b6a2e155aeac676f644a32935fa1269f9f318ac7b46678664,0x0a671e87874b880734009f3775c0a0e33ea8f8168cb81049c29fc3eefa3b109e,11.507,11.507,0.0,11.507,2026-05-21T06:45:38.307031Z,2026-05-21T07:15:38.307031Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0019,user-003,0x001780a7411070c1d08ed37a6daa37adea9d5519cd2b9b29b7f2910407f00d5f,0xd2082bdf8b009694f587508a79bced4510ea33c6eaa2d73384892fc9b33a1878,4.68,4.68,0.0,4.68,2026-05-21T08:41:33.404201Z,2026-05-21T09:21:33.404201Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0020,user-001,0x02e9c94eebed792a5bb5f416f3e03a25525eeef3621ce6912b22519ef91787fc,0x09371c147a53058c89b9fa40b079056fad5d785807ddd0bf2b0aa95d2dab1722,1.885,2.898,1.013,1.885,2026-05-21T16:35:06.478566Z,2026-05-21T16:55:06.478566Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0021,user-004,0xa2ab4a9139a2c07cfca0c463b24cf7872764094eafc4fa10da810d74290f5d00,0x00efd2485a28beb4925a2d4c47b362acd06b10fadc51d55b21373b740f2db9b5,-0.048,2.557,2.605,-0.048,2026-05-21T03:13:58.067847Z,2026-05-21T03:43:58.067847Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0022,user-008,0x56923c965bbffb416780db4f25868535a541eb4e1bb7ac6d858c909082e44a91,0xc4c26f6fa95d136d1faac1ae135bbbed35574f02e914dd10296122ae034d5e6f,-11.192,0.0,11.192,-11.192,2026-05-21T18:38:41.726804Z,2026-05-21T19:38:41.726804Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0023,user-003,0x5a2525b608ca19be945081548f5c683e1ddb9c47f4d1c95a887d1bfdd3a1f7c0,0x7af89818b0dbd96c1a01d208b6fa3534f1e3a35a7feb897524c42c38690fe25e,0.245,2.433,2.188,0.245,2026-05-21T10:02:57.047005Z,2026-05-21T10:42:57.047005Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0024,user-004,0xd2eba7d2ed8905e4617a931f8618c799b31e229db3851b506adb37f0b8b2157d,0x97a7fa01abddf6464feb21a0ebeee0da2a83e8ba2eb93bc5f9da7f53079da91d,7.517,7.517,0.0,7.517,2026-05-21T15:14:31.264838Z,2026-05-21T15:34:31.264838Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
research_20260521_1000-0025,user-007,0x11d215522f2bea09bfc33827297668adfe324b788684357c343f8315b9cbb0df,0x830a7fd5c220f597e02598be6e6f313c108d1d372de759d3254572b4dbf4bf7a,0.817,4.91,4.093,0.817,2026-05-21T07:15:01.193014Z,2026-05-21T08:30:01.193014Z,2026-05-21,0x57bdda51774313bdb9c63336ebb6a51de4fddf593c7e828f3096e74b732f5b2f
