session_id,user_id,receipt_hash,merkle_root,energy_kwh,start_ts,end_ts,batch_day,batch_root
run_20260219_235212-0001,user-002,0x55b6a8d7aef64389b04ddd54445fc900e9d7b3dcdee178158f1e3d9909601993,0xf6bcbfbac6bcf68620372f98eb9a3c44b6410a90093139a892f7c157d660a16b,4.879,2026-02-20T23:22:59.070749Z,2026-02-21T00:02:59.070749Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0002,user-009,0x0b3e17c8242738b17045da5ad4a58d0d9f31b9704201a071efd9fd1a04dd7a70,0xf62ebfff5e1886d4aa279b12562f6fa0eee22309f6de5337f7ba7df13a0bdb01,13.956,2026-02-20T19:12:40.426981Z,2026-02-20T20:27:40.426981Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0003,user-007,0xd245921c81ff4fe6f501ca9392fe068f3f64b611bd63d60902a4108fd5a9b512,0x18c338ffde7b6d8e1cd13bb72b5ae1e52fbd54ab699b6be792bab1287ebe2871,13.632,2026-02-20T22:05:31.662886Z,2026-02-20T22:45:31.662886Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0004,user-007,0xa45af7104f68287c12354411ec2a009554011d3759939ab4f60dd76b8d2a8cf0,0x25a576d1035629901e8845cfed76806addefcd7de2c431acd0f24101ed376188,4.882,2026-02-20T17:18:43.080691Z,2026-02-20T17:58:43.080691Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0005,user-005,0xd6ee3944ae791f72341b84491d1aadd1b143a77c46ebb2bd80aaca0d1c5bd2fe,0x0a7b198465899f7d6607e53b3a875f087f0c6b0354a64737749f53d4f1b7f05b,9.089,2026-02-20T00:14:05.182505Z,2026-02-20T01:29:05.182505Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0006,user-003,0xb71b264e8b33f4b9e444b0fd30f548aa7caa851f1b3ec765123e753b643a9671,0xfa42fc4f5f2fb52922e45bf68c86dab79e657efccdb78b1d5543e25bef90e393,27.595,2026-02-20T18:03:51.383335Z,2026-02-20T19:18:51.383335Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0007,user-009,0x79c574195b39872a1ecf641ce708bfcb63fccd039c1dc90c98126c0eff288ea4,0x516fd244f1d26e906abd1cccd44fdb4ad744fe1c0c916ee07c4c64419acca806,7.283,2026-02-20T03:19:28.633727Z,2026-02-20T03:39:28.633727Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0008,user-005,0xdee64ea47efc01059f64a83b1e162a457df1b210b7b7aee8d493391a52e55a86,0xee926d919fdf0a0e73693305b3ca11884f049e2973a6636a49aeba41d39de786,7.453,2026-02-20T13:32:56.282342Z,2026-02-20T14:32:56.282342Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0009,user-009,0x9562cb92dcdb69b450f51194ccce4e94ce16630252a500f82d9e2c007d06990f,0xe2c461dc69b4ef0b677b91554135c8303623ac7c4a9b8e999675154af0bbc86f,13.965,2026-02-20T01:56:22.162084Z,2026-02-20T03:11:22.162084Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0010,user-009,0xeaee961bbc957e9e789fb81d145d31f2e1a6c58267a3d6db5fec868dda2de972,0xf80507d7d7333c1aa3577a563a2ae8458ff5280c9989c7625c3dda5d923ec22d,27.702,2026-02-20T20:01:13.030745Z,2026-02-20T21:16:13.030745Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0011,user-001,0x74128f637053c49f98611c2a0bd1b8bdfdd52d206ae46b84e4796f5d0d71922e,0x416853ca282dbd9774aaa330c9291a9041e32637a3d0bd3a49a9396f7e71cb94,3.79,2026-02-20T18:29:19.429879Z,2026-02-20T18:49:19.429879Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0012,user-010,0x59c3b8045900e84964bc3a75d585dda6b566767137667ec6feaf9a1181f5739e,0x9f9ce347376e2ff88b67a0c287410ccc355f2f62bcf22612c7f9de62a1d4bf47,5.454,2026-02-20T10:09:15.313464Z,2026-02-20T10:39:15.313464Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0013,user-002,0x0f5afc2f00a8082546c593cc637271979dae6d7e475a963c55e38effe367a250,0x92678d43c30181fab255abc9e26af260187a3d5f38958ad3ac71e989a1390ccf,4.925,2026-02-20T22:31:43.064960Z,2026-02-20T23:11:43.064960Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0014,user-009,0x997c424485c9e4d5f5e77015fad664ecafbca385a319ae14594e8edf11f95018,0xdde68eaef10e91cb4401155d045df69fe5431782e9d914173f1b5edc8cfde0ab,2.478,2026-02-20T03:55:07.216649Z,2026-02-20T04:15:07.216649Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0015,user-001,0x3ba46d0ce655454b3a3748ce628d453bc823b8db693032b409955282b3770256,0xf944b151d7bef07b701ae67a094c45eab6ba6fb5bb637bc0f4c00c959265945f,7.23,2026-02-20T00:20:09.315897Z,2026-02-20T01:00:09.315897Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
run_20260219_235212-0016,user-009,0x406f7d58a06b1e78fb4a8f25b19c781eb92609007a83d79af5aa0bd1a5a86269,0xa44da4056f158f479aa63cd7f274d2f9091e53b498ce5b8d137e206ac23efe22,5.059,2026-02-20T22:31:13.265824Z,2026-02-20T23:11:13.265824Z,2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d
