session_id,match,import_consistent,export_consistent,net_consistent,settlement_consistent,audit_ok,audit_reason,batch_day,expected_hash,computed_hash,batch_root
run_20260521_224907-0001,True,True,True,True,True,True,,2026-05-23,0x163a905666bfaab836916b55b757b49e6dcada378d680be1b2bd3c0fedb4cf95,0x163a905666bfaab836916b55b757b49e6dcada378d680be1b2bd3c0fedb4cf95,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0002,True,True,True,True,True,True,,2026-05-23,0x231f52781694834be265fe3fc5e1e49cac92b08a3fbe1503cdccf8ff8af98fb1,0x231f52781694834be265fe3fc5e1e49cac92b08a3fbe1503cdccf8ff8af98fb1,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0003,True,True,True,True,True,True,,2026-05-23,0x3ee2538b4cfcf51068dd2c86fa6c221b341d3e437c2879ff32e5f543a7f3cf9f,0x3ee2538b4cfcf51068dd2c86fa6c221b341d3e437c2879ff32e5f543a7f3cf9f,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0004,True,True,True,True,True,True,,2026-05-23,0xb6620b759797603f003944b35013f2c5ac9890d4f963588b7e09ea6c18141a40,0xb6620b759797603f003944b35013f2c5ac9890d4f963588b7e09ea6c18141a40,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0005,True,True,True,True,True,True,,2026-05-23,0x26b0efda13c5d69da162c50478607161c6111118c981294192c4be1510ecf03a,0x26b0efda13c5d69da162c50478607161c6111118c981294192c4be1510ecf03a,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0006,True,True,True,True,True,True,,2026-05-23,0x5dfc1f487042b89133f03d482967206a73c5f80d6aa9e1ab1b5bc5a566c726ea,0x5dfc1f487042b89133f03d482967206a73c5f80d6aa9e1ab1b5bc5a566c726ea,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0007,True,True,True,True,True,True,,2026-05-23,0xd1726354d85b62a3a76dd3a6559a4f14c047148887d06f2086c89af2fe50b04a,0xd1726354d85b62a3a76dd3a6559a4f14c047148887d06f2086c89af2fe50b04a,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0008,True,True,True,True,True,True,,2026-05-23,0x12151220488b3ca431566ee5ac83a3077004c26e44545a321b0a34276ff816e4,0x12151220488b3ca431566ee5ac83a3077004c26e44545a321b0a34276ff816e4,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0009,True,True,True,True,True,True,,2026-05-23,0x7e5a2b2f13e82e355898d5bfb6444cd7354b70556c6ad34544265a66280f05cf,0x7e5a2b2f13e82e355898d5bfb6444cd7354b70556c6ad34544265a66280f05cf,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0010,True,True,True,True,True,True,,2026-05-23,0x3782ca9f5087985e0b7d826b498fa9fecf5ce7da1643899343f2659d41871641,0x3782ca9f5087985e0b7d826b498fa9fecf5ce7da1643899343f2659d41871641,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0011,True,True,True,True,True,True,,2026-05-23,0xebd307971d62797aafe80e5e3e2b9fa3534afeec6117eb2a802d8bf59f3e4d14,0xebd307971d62797aafe80e5e3e2b9fa3534afeec6117eb2a802d8bf59f3e4d14,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0012,True,True,True,True,True,True,,2026-05-23,0x583968ccc1a91ea0f80ef0dbce3795b6e85902376fb317b1a7f5974c7ae2a716,0x583968ccc1a91ea0f80ef0dbce3795b6e85902376fb317b1a7f5974c7ae2a716,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0013,True,True,True,True,True,True,,2026-05-23,0x3b06fba9996cf9c0d07230b5241798c49830c6e346c188a42c18269ee50561c3,0x3b06fba9996cf9c0d07230b5241798c49830c6e346c188a42c18269ee50561c3,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0014,True,True,True,True,True,True,,2026-05-23,0xf0a0eb0c2950aacc8c753d54243a058da4a6b685a08d753334f3283df9f182e5,0xf0a0eb0c2950aacc8c753d54243a058da4a6b685a08d753334f3283df9f182e5,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0015,True,True,True,True,True,True,,2026-05-23,0xfa926a6e1e55098d51d6396d0c38d2300fcf90d39f3d8672056b7aab1b6b2691,0xfa926a6e1e55098d51d6396d0c38d2300fcf90d39f3d8672056b7aab1b6b2691,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0016,True,True,True,True,True,True,,2026-05-23,0x42a32c01f52a3d2680a54e710a6b5e850cd65e37409b87c4380daeed81d97437,0x42a32c01f52a3d2680a54e710a6b5e850cd65e37409b87c4380daeed81d97437,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0017,True,True,True,True,True,True,,2026-05-23,0x8816837f487a226d9386e69a0169d3a7befd697c18551c583ed0960051b4607f,0x8816837f487a226d9386e69a0169d3a7befd697c18551c583ed0960051b4607f,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0018,True,True,True,True,True,True,,2026-05-23,0x33a3628264a2e63ad6958ee0555e1891ab0ae300d52dfd27120c608ada6d9c26,0x33a3628264a2e63ad6958ee0555e1891ab0ae300d52dfd27120c608ada6d9c26,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0019,True,True,True,True,True,True,,2026-05-23,0xc5d255e12d5d0cf184bc4f2ed8c82549ab760826cd5433c13a561c57ac2f4710,0xc5d255e12d5d0cf184bc4f2ed8c82549ab760826cd5433c13a561c57ac2f4710,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0020,True,True,True,True,True,True,,2026-05-23,0x490ed72599df6f8fbf9c216d73efdda552de2756a8393d985a1d917002fbc27b,0x490ed72599df6f8fbf9c216d73efdda552de2756a8393d985a1d917002fbc27b,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0021,True,True,True,True,True,True,,2026-05-23,0xda46fdb9e1cd67f0e891cc0f2be162f152a11fa7512b7f06caba57475272c8f8,0xda46fdb9e1cd67f0e891cc0f2be162f152a11fa7512b7f06caba57475272c8f8,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0022,True,True,True,True,True,True,,2026-05-23,0xb8b9d3281624adceccd3a79b3dcc562f3d2a6e64a483bdc9c0631428ae4d7b26,0xb8b9d3281624adceccd3a79b3dcc562f3d2a6e64a483bdc9c0631428ae4d7b26,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0023,True,True,True,True,True,True,,2026-05-23,0xb9647fdf10e1d279c56511a3537098425a694b3121d7233863cea76d0403f31e,0xb9647fdf10e1d279c56511a3537098425a694b3121d7233863cea76d0403f31e,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
