session_id,user_id,energy_kwh,import_kwh,export_kwh,net_kwh,start_ts,end_ts,batch_day,receipt_hash,merkle_root,batch_root
run_20260521_224907-0001,user-002,3.404,4.028,0.624,3.404,2026-05-23T23:22:59.070749Z,2026-05-24T00:02:59.070749Z,2026-05-23,0x163a905666bfaab836916b55b757b49e6dcada378d680be1b2bd3c0fedb4cf95,0x318e66c702bdf97c033bbd4d7ad0758c9b6b2bf6c5aee6e2f58313e9f729992a,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0002,user-004,4.893,4.893,0.0,4.893,2026-05-23T13:12:08.338401Z,2026-05-23T13:52:08.338401Z,2026-05-23,0x231f52781694834be265fe3fc5e1e49cac92b08a3fbe1503cdccf8ff8af98fb1,0xc75e93d109569ace61e8514166f03772598b29b543fb37232450daa7c5fcf670,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0003,user-008,7.318,7.318,0.0,7.318,2026-05-23T11:06:49.892898Z,2026-05-23T12:06:49.892898Z,2026-05-23,0x3ee2538b4cfcf51068dd2c86fa6c221b341d3e437c2879ff32e5f543a7f3cf9f,0x710ef10cf9ea435a9a49a3ed882bb6f9fb3f830d46a11958429e5d327206bae7,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0004,user-006,15.207,15.207,0.0,15.207,2026-05-23T18:57:18.592541Z,2026-05-23T19:37:18.592541Z,2026-05-23,0xb6620b759797603f003944b35013f2c5ac9890d4f963588b7e09ea6c18141a40,0xca03ae590d09bf9bf2f46b7b9dc331d014187ba281985f292582c595289e3089,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0005,user-001,-3.741,0.0,3.741,-3.741,2026-05-23T18:29:10.246582Z,2026-05-23T18:49:10.246582Z,2026-05-23,0x26b0efda13c5d69da162c50478607161c6111118c981294192c4be1510ecf03a,0x509169235f202dc2d6c4c157341441c01e25c99a36f043c5637f28421620136e,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0006,user-008,3.466,3.466,0.0,3.466,2026-05-23T20:33:15.894586Z,2026-05-23T21:03:15.894586Z,2026-05-23,0x5dfc1f487042b89133f03d482967206a73c5f80d6aa9e1ab1b5bc5a566c726ea,0xa042b0b48589530b7be6933a0e7a7083cbcbd8f9bce8c4a146bff52794a2f889,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0007,user-001,0.471,5.582,5.111,0.471,2026-05-23T03:19:00.708605Z,2026-05-23T03:49:00.708605Z,2026-05-23,0xd1726354d85b62a3a76dd3a6559a4f14c047148887d06f2086c89af2fe50b04a,0xc23101a2813ff4a98f32c86f29bae4fc513e93917176a488baf7c7c090ba67ee,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0008,user-009,2.666,3.714,1.048,2.666,2026-05-23T05:57:44.158115Z,2026-05-23T06:37:44.158115Z,2026-05-23,0x12151220488b3ca431566ee5ac83a3077004c26e44545a321b0a34276ff816e4,0x4d2c1ee0e7a9df7de26f2e1b759fd2427d22d10d28f3f5b9c0c9911faca5c5b2,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0009,user-006,27.805,27.805,0.0,27.805,2026-05-23T05:40:59.066874Z,2026-05-23T06:55:59.066874Z,2026-05-23,0x7e5a2b2f13e82e355898d5bfb6444cd7354b70556c6ad34544265a66280f05cf,0x3c843ea5874fc9dbcc979d5ad3a6f28c3c78d8080d3d4c7b980cf3e70dd5a444,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0010,user-010,10.482,10.482,0.0,10.482,2026-05-23T13:49:40.881967Z,2026-05-23T14:19:40.881967Z,2026-05-23,0x3782ca9f5087985e0b7d826b498fa9fecf5ce7da1643899343f2659d41871641,0x21269de0dc29f727091acd06cd13f4f9415b1c96a323b033f76ac71bcd7ceed3,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0011,user-006,8.959,8.959,0.0,8.959,2026-05-23T23:28:42.639935Z,2026-05-24T00:43:42.639935Z,2026-05-23,0xebd307971d62797aafe80e5e3e2b9fa3534afeec6117eb2a802d8bf59f3e4d14,0xe6b0a76ae277209a614e3040ee564842d93bb94f0503620b8cde662feb84ea19,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0012,user-002,-7.311,0.0,7.311,-7.311,2026-05-23T08:10:03.890442Z,2026-05-23T08:50:03.890442Z,2026-05-23,0x583968ccc1a91ea0f80ef0dbce3795b6e85902376fb317b1a7f5974c7ae2a716,0x43bfcaf2f2e6151d16f69725c896551400850c8c42171fe4d24da41d4c5b2f26,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0013,user-007,7.205,7.205,0.0,7.205,2026-05-23T19:34:46.633708Z,2026-05-23T20:34:46.633708Z,2026-05-23,0x3b06fba9996cf9c0d07230b5241798c49830c6e346c188a42c18269ee50561c3,0x4f0b4820ec1a2d41bba7316ffb1da6dc5521bc263380cbf369ff6281776140bd,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0014,user-001,-0.141,3.852,3.993,-0.141,2026-05-23T00:20:09.315897Z,2026-05-23T01:00:09.315897Z,2026-05-23,0xf0a0eb0c2950aacc8c753d54243a058da4a6b685a08d753334f3283df9f182e5,0xb0493eab5e483137f406fc44f5f6be75d200b6a2b3566ea540dacc6da0e57a3d,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0015,user-002,3.936,6.033,2.097,3.936,2026-05-23T03:33:04.004082Z,2026-05-23T03:53:04.004082Z,2026-05-23,0xfa926a6e1e55098d51d6396d0c38d2300fcf90d39f3d8672056b7aab1b6b2691,0xce1c8e3381194688a7cdf1001794cd9ffe34c17f5400b0ce85b51be6a483d21c,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0016,user-010,4.855,4.855,0.0,4.855,2026-05-23T11:26:11.573378Z,2026-05-23T12:06:11.573378Z,2026-05-23,0x42a32c01f52a3d2680a54e710a6b5e850cd65e37409b87c4380daeed81d97437,0x1120e529c16035ee4b1f29f9403c3e5d33d4fde52f151a02ca7ed0967562ca69,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0017,user-002,2.972,8.628,5.656,2.972,2026-05-23T11:04:48.387486Z,2026-05-23T12:19:48.387486Z,2026-05-23,0x8816837f487a226d9386e69a0169d3a7befd697c18551c583ed0960051b4607f,0x5d85be3f56862af2182a78f6b93a06e618526c2bb84444740bd245bbca3e18c1,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0018,user-004,11.507,11.507,0.0,11.507,2026-05-23T06:45:38.307031Z,2026-05-23T07:15:38.307031Z,2026-05-23,0x33a3628264a2e63ad6958ee0555e1891ab0ae300d52dfd27120c608ada6d9c26,0x5bea236f139742b02db14bcbe862ff341c966d47fa492bc8e43da54653b614ba,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0019,user-003,4.68,4.68,0.0,4.68,2026-05-23T08:41:33.404201Z,2026-05-23T09:21:33.404201Z,2026-05-23,0xc5d255e12d5d0cf184bc4f2ed8c82549ab760826cd5433c13a561c57ac2f4710,0x9ef164102372bdba08007f9ae5fff953a848a079101bb7f296c25c1d8738ba4e,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0020,user-001,1.885,2.898,1.013,1.885,2026-05-23T16:35:06.478566Z,2026-05-23T16:55:06.478566Z,2026-05-23,0x490ed72599df6f8fbf9c216d73efdda552de2756a8393d985a1d917002fbc27b,0xc671533d406e9ca0bc2121e386d36f199f695f0b502ba3ad929a7a28b9b54dd0,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0021,user-004,-0.048,2.557,2.605,-0.048,2026-05-23T03:13:58.067847Z,2026-05-23T03:43:58.067847Z,2026-05-23,0xda46fdb9e1cd67f0e891cc0f2be162f152a11fa7512b7f06caba57475272c8f8,0x08bcfb1826cdb23380707811f4c248cba6bd4f28676ef07893febb8a0ad79219,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0022,user-008,-11.192,0.0,11.192,-11.192,2026-05-23T18:38:41.726804Z,2026-05-23T19:38:41.726804Z,2026-05-23,0xb8b9d3281624adceccd3a79b3dcc562f3d2a6e64a483bdc9c0631428ae4d7b26,0x47eabebf4ce4db46602883f7699a889bc715e80eb6dd8eb8f85f5c2ac26b047c,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0023,user-003,0.245,2.433,2.188,0.245,2026-05-23T10:02:57.047005Z,2026-05-23T10:42:57.047005Z,2026-05-23,0xb9647fdf10e1d279c56511a3537098425a694b3121d7233863cea76d0403f31e,0x9f091dedf9573945e1fc8145ec9b406c34f54534cb785d68ec1351b51786d662,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0024,user-004,7.517,7.517,0.0,7.517,2026-05-23T15:14:31.264838Z,2026-05-23T15:34:31.264838Z,2026-05-23,0x73235b31b5b9ed1cc8a417ae4b85d1b6f6422d51392894843496f22bbca82f9a,0x428d07013cde4246af04f6be38e4e83faf6a4e9bc3ec56ce3e18e8843ac2e23e,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0025,user-007,0.817,4.91,4.093,0.817,2026-05-23T07:15:01.193014Z,2026-05-23T08:30:01.193014Z,2026-05-23,0xa05dcec6ffa7b7ad883da4b3c7b007474ddd036729fb9de56b0f1f7dc720226d,0xa1f9be750f3b15c94d9b7c51a3de58d373558740daa35399928e8879286440d1,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0026,user-010,-11.153,0.0,11.153,-11.153,2026-05-23T15:56:19.734733Z,2026-05-23T16:26:19.734733Z,2026-05-23,0x3220d2640dc73f6cda1bbb6eda9aeb60b64fc3621f207d1855d2fd116f3c1e1f,0x3de3eb793bfed9606550aabb035dac3a3626379f978b8ec712900ee0aedfef03,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0027,user-004,-11.039,0.0,11.039,-11.039,2026-05-23T06:44:34.912901Z,2026-05-23T07:44:34.912901Z,2026-05-23,0x52c1e2d125fc65ec578728a569acb10884c1dfdbf3093083415144de072a0c92,0xb68cfc4abc0bf13dd9ddb613c13ba68126a233c4273966ba1a1d178cdb726bb0,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0028,user-009,13.549,13.549,0.0,13.549,2026-05-23T00:16:26.092055Z,2026-05-23T01:31:26.092055Z,2026-05-23,0x1e4d1296558a0b10a4daf24d84d314eb4b26ced7025a01af783d1adc478d8f75,0xc58459cdcd624c76ef525fc05c9f5c1f4d5d8fe717ded736427c9dbb82445e6a,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0029,user-006,3.691,6.217,2.526,3.691,2026-05-23T16:18:37.093289Z,2026-05-23T17:33:37.093289Z,2026-05-23,0xa21d1823c9199a7f481cfa7b81f4de17cbc43402059b9a5ebb5c5edeba766c6a,0xba23516950830465da92a1d6803ec587ea52eeaacdc242718828fe617267252c,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0030,user-007,21.809,21.809,0.0,21.809,2026-05-23T03:30:02.097071Z,2026-05-23T04:30:02.097071Z,2026-05-23,0x2c4e4d5acb6ba67b451238d0570fd31e937bb513c5685710863c45114bd754bc,0x645a0b4371f200d95216f1fb912af21b5e0da9940064b92c5362d2883ad8d062,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0031,user-010,2.568,2.568,0.0,2.568,2026-05-23T10:26:16.532667Z,2026-05-23T10:46:16.532667Z,2026-05-23,0xc4254dc306c1f7d1b047178a2191c69417609309b41ad579bfdc9138a7e3d7d5,0xafe8b7f49130551dc982437c907aa50d4dc33c7be92432b3c8680cdbede7c64f,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0032,user-007,11.264,11.264,0.0,11.264,2026-05-23T17:18:18.628409Z,2026-05-23T18:18:18.628409Z,2026-05-23,0x64a42bf5ac399c320bf50636fd925c23a8139175ac6d9781127fc964f6345f89,0x9f2ec306ee429b16e2b97417991713057725229a1e0a004c0fdc87712d336279,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0033,user-010,9.654,14.861,5.207,9.654,2026-05-23T01:14:13.793280Z,2026-05-23T02:14:13.793280Z,2026-05-23,0xe83d66cd6d3b572060cd503db8cbdab4abdd92e15c67e8684002c17ba6d22507,0x9a980aac7e9790953421ea2986a710e6e8cc86d47f1d5bfe15a818d18a740166,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0034,user-004,15.024,15.024,0.0,15.024,2026-05-23T21:32:15.727209Z,2026-05-23T22:12:15.727209Z,2026-05-23,0xd5a9621d2ea9b21343805ac54f03fb888acf3039b4f9323b34f6312afd84d635,0x4ae9aabe9ca8b9ac122f0e12905b8d840a261774f91ca126cb4a5c44f2446203,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0035,user-006,14.902,18.497,3.595,14.902,2026-05-23T08:43:45.446833Z,2026-05-23T09:43:45.446833Z,2026-05-23,0xf3a1de21812984472af5dbb2b73b4c1272b0d46fc15ce5f110b6d1f745c3629d,0x0e6d03b16ba69b781686f85cc465878eda0f81b1abfafc0963088aa9d0baf8ce,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0036,user-007,6.964,8.847,1.883,6.964,2026-05-23T15:54:35.332041Z,2026-05-23T16:54:35.332041Z,2026-05-23,0xfbd16167dfeb97c90ba3f1b44f4d18c8f13b03b0226b8eb755ea6a73636b85c3,0x991d8e64f5f4e6941848e79146dabb9ee83a5db2c200202ca7adef06f8cf8da2,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0037,user-001,5.412,5.412,0.0,5.412,2026-05-23T21:45:00.190512Z,2026-05-23T22:15:00.190512Z,2026-05-23,0xd2bf595a6ef1bde94d3502ea37ffc6272a56d7e211d639bcfa63fab4817d3927,0xf1d1cefed23c7c52a5ef62a21b6a2e9788d38b67a586212f25f4f04b49806bfa,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0038,user-005,3.361,5.245,1.884,3.361,2026-05-23T17:56:58.722376Z,2026-05-23T18:16:58.722376Z,2026-05-23,0x5f27a598f382c527dbcc3f953b2ef08e1a8f81a24183fadedf4662fe04351662,0x6da089c5afdf8ad008716e6aad03b6a02f5971fb58463728615e53e95c8a6991,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0039,user-009,-0.033,1.226,1.259,-0.033,2026-05-23T09:39:37.280020Z,2026-05-23T09:59:37.280020Z,2026-05-23,0x68eb127be6c2d9d5b9fb08b0418ffa6379ba42ee910ca07789d242249bacb618,0xf71d70366b9c64552190b9fedba9b5be2114369034a893a928507083b35a15d2,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0040,user-003,7.14,7.14,0.0,7.14,2026-05-23T08:40:28.061799Z,2026-05-23T09:40:28.061799Z,2026-05-23,0xe789f162372ebfbd8fa9e905a58f3f3b0a22c49acc1a50aec9a5950fd0b9391d,0x124d250641ffb2d56c7f9706a5819f33cc2eb5b7a6929f58ced75e12d3ab519a,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0041,user-002,7.132,7.132,0.0,7.132,2026-05-23T00:07:45.474198Z,2026-05-23T00:27:45.474198Z,2026-05-23,0xe0a8e7f9080baed4845a30f22edb63aaa1b75d0de5b9e9993173d9ab9213e9e8,0xecf88ca8eb9902d69a9518aba5f5282fd9c2eb80a9df152c05550d233e89b5c3,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0042,user-010,14.805,14.805,0.0,14.805,2026-05-23T00:13:21.299096Z,2026-05-23T00:53:21.299096Z,2026-05-23,0x5ac311b4dc0375f1fe3b6e40422d6578918b6d1c4fe573269b534b1549bfcc33,0x19292cdbff285f53be87fabfcd739a9b01854abab8bd0c3d66d3d71b5eae1ee0,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0043,user-010,0.136,1.345,1.209,0.136,2026-05-23T12:42:19.561814Z,2026-05-23T13:02:19.561814Z,2026-05-23,0x89a2c6b3a10765ed73be2b03a2ec3c3ae421d72ef90fe3d6caabf7fada88f351,0xd684ba83ecca4949e43ce396845fe248c9a066f6ff17a08b113a2cac02767a4c,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0044,user-007,3.91,7.517,3.607,3.91,2026-05-23T21:13:43.327467Z,2026-05-23T21:43:43.327467Z,2026-05-23,0x64ed39ec09c31b0f3d93ffdedeeee0b49895ebb8c0dee66b8f20bbb721dc3f12,0x4432b31223b224fdb6edd46c6a9d187814ac6b11d1519fdba64188786f0c7de9,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0045,user-007,27.548,27.548,0.0,27.548,2026-05-23T01:21:32.772800Z,2026-05-23T02:36:32.772800Z,2026-05-23,0x5e43317e2369bf07751a1ff2d39b5aff4f752cfc8a25b626bc1c4b342a7fb019,0xd375a77bec844c21ad9d8183f89c3ae6d2a6832e5c9a0797604d97d047f6d0e4,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0046,user-010,7.084,7.084,0.0,7.084,2026-05-23T13:31:19.537117Z,2026-05-23T14:31:19.537117Z,2026-05-23,0x5cc40a369dd6ea3083f9c4c63484a27a33d1f5f23526232968a1ad4d188ef6c3,0x0e0875871366d6a01bd8e9093669cb337669a45ce8508865d099239e7ae9c7e9,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0047,user-009,7.108,7.108,0.0,7.108,2026-05-23T04:11:06.289638Z,2026-05-23T04:31:06.289638Z,2026-05-23,0x175b9d08d85f8171bdbe8374ee7271fd05c3607db97e2ae911708347688a8625,0xfed47501f9760ca538d70772c1bc44e95329a4652c20e59a067a2240b32eb739,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0048,user-004,-5.532,0.0,5.532,-5.532,2026-05-23T17:34:26.341013Z,2026-05-23T18:04:26.341013Z,2026-05-23,0x2a6c813e8c76c7b265d504de06f06479112d931ae8706ff75fdbd823e2bf0d5f,0xea0a1cf14ecafb63cde8632357c17c7586300fc5822179129447c82e7ab97e3c,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
run_20260521_224907-0049,user-004,3.716,3.716,0.0,3.716,2026-05-23T00:10:08.983156Z,2026-05-23T00:30:08.983156Z,2026-05-23,0xe9989b6aa8a899b3d62c0bea8fd7a97cff2ffd1e31a717f0077abe302ada9b27,0x440fa4d5133e430d98b540d585f8fb8c26f8c695b0eedb565c592d41b3e80875,0x746593a2c3315dceb0588c0157d4edc143801c2edd635197e27c8e0da10e0cc1
