session_id,ts,energy_kwh
run_20260217_215140-0001,2026-02-17T16:12:40.849118Z,0.0
run_20260217_215140-0001,2026-02-17T16:17:40.849118Z,0.896
run_20260217_215140-0001,2026-02-17T16:22:40.849118Z,1.784
run_20260217_215140-0001,2026-02-17T16:27:40.849118Z,2.615
run_20260217_215140-0001,2026-02-17T16:32:40.849118Z,3.512
run_20260217_215140-0001,2026-02-17T16:37:40.849118Z,4.531
run_20260217_215140-0001,2026-02-17T16:42:40.849118Z,5.486
run_20260217_215140-0002,2026-02-17T13:56:49.926122Z,0.0
run_20260217_215140-0002,2026-02-17T14:01:49.926122Z,0.58
run_20260217_215140-0002,2026-02-17T14:06:49.926122Z,1.174
run_20260217_215140-0002,2026-02-17T14:11:49.926122Z,1.64
run_20260217_215140-0002,2026-02-17T14:16:49.926122Z,2.182
run_20260217_215140-0002,2026-02-17T14:21:49.926122Z,2.728
run_20260217_215140-0002,2026-02-17T14:26:49.926122Z,3.27
run_20260217_215140-0003,2026-02-17T14:27:46.806990Z,0.0
run_20260217_215140-0003,2026-02-17T14:32:46.806990Z,0.57
run_20260217_215140-0003,2026-02-17T14:37:46.806990Z,1.159
run_20260217_215140-0003,2026-02-17T14:42:46.806990Z,1.693
run_20260217_215140-0003,2026-02-17T14:47:46.806990Z,2.33
run_20260217_215140-0003,2026-02-17T14:52:46.806990Z,2.86
run_20260217_215140-0003,2026-02-17T14:57:46.806990Z,3.427
run_20260217_215140-0004,2026-02-17T10:01:29.745860Z,0.0
run_20260217_215140-0004,2026-02-17T10:06:29.745860Z,1.035
run_20260217_215140-0004,2026-02-17T10:11:29.745860Z,2.035
run_20260217_215140-0004,2026-02-17T10:16:29.745860Z,2.834
run_20260217_215140-0004,2026-02-17T10:21:29.745860Z,3.701
run_20260217_215140-0004,2026-02-17T10:26:29.745860Z,4.505
run_20260217_215140-0004,2026-02-17T10:31:29.745860Z,5.424
run_20260217_215140-0005,2026-02-17T09:55:47.454993Z,0.0
run_20260217_215140-0005,2026-02-17T10:00:47.454993Z,0.867
run_20260217_215140-0005,2026-02-17T10:05:47.454993Z,1.938
run_20260217_215140-0005,2026-02-17T10:10:47.454993Z,2.833
run_20260217_215140-0005,2026-02-17T10:15:47.454993Z,3.685
run_20260217_215140-0005,2026-02-17T10:20:47.454993Z,4.502
run_20260217_215140-0005,2026-02-17T10:25:47.454993Z,5.368
run_20260217_215140-0005,2026-02-17T10:30:47.454993Z,6.39
run_20260217_215140-0005,2026-02-17T10:35:47.454993Z,7.201
run_20260217_215140-0005,2026-02-17T10:40:47.454993Z,8.058
run_20260217_215140-0005,2026-02-17T10:45:47.454993Z,9.224
run_20260217_215140-0005,2026-02-17T10:50:47.454993Z,10.211
run_20260217_215140-0005,2026-02-17T10:55:47.454993Z,11.192
