session_id,user_id,evse_id,start_ts,end_ts,tariff_model
run_20260217_222909-0001,user-002,EVSE-033,2026-02-17T23:22:59.070749Z,2026-02-18T00:02:59.070749Z,TOU
run_20260217_222909-0002,user-009,EVSE-035,2026-02-17T19:12:40.426981Z,2026-02-17T20:27:40.426981Z,TOU
run_20260217_222909-0003,user-007,EVSE-015,2026-02-17T22:05:31.662886Z,2026-02-17T22:45:31.662886Z,TOU
run_20260217_222909-0004,user-007,EVSE-011,2026-02-17T17:18:43.080691Z,2026-02-17T17:58:43.080691Z,TOU
run_20260217_222909-0005,user-005,EVSE-030,2026-02-17T00:14:05.182505Z,2026-02-17T01:29:05.182505Z,TOU
run_20260217_222909-0006,user-003,EVSE-034,2026-02-17T18:03:51.383335Z,2026-02-17T19:18:51.383335Z,TOU
run_20260217_222909-0007,user-009,EVSE-042,2026-02-17T03:19:28.633727Z,2026-02-17T03:39:28.633727Z,TOU
run_20260217_222909-0008,user-005,EVSE-035,2026-02-17T13:32:56.282342Z,2026-02-17T14:32:56.282342Z,TOU
run_20260217_222909-0009,user-009,EVSE-043,2026-02-17T01:56:22.162084Z,2026-02-17T03:11:22.162084Z,TOU
run_20260217_222909-0010,user-009,EVSE-005,2026-02-17T20:01:13.030745Z,2026-02-17T21:16:13.030745Z,TOU
run_20260217_222909-0011,user-001,EVSE-009,2026-02-17T18:29:19.429879Z,2026-02-17T18:49:19.429879Z,TOU
run_20260217_222909-0012,user-010,EVSE-047,2026-02-17T10:09:15.313464Z,2026-02-17T10:39:15.313464Z,TOU
run_20260217_222909-0013,user-002,EVSE-036,2026-02-17T22:31:43.064960Z,2026-02-17T23:11:43.064960Z,TOU
run_20260217_222909-0014,user-009,EVSE-004,2026-02-17T03:55:07.216649Z,2026-02-17T04:15:07.216649Z,TOU
run_20260217_222909-0015,user-001,EVSE-004,2026-02-17T00:20:09.315897Z,2026-02-17T01:00:09.315897Z,TOU
run_20260217_222909-0016,user-009,EVSE-005,2026-02-17T22:31:13.265824Z,2026-02-17T23:11:13.265824Z,TOU
run_20260217_222909-0017,user-004,EVSE-005,2026-02-17T14:17:33.792366Z,2026-02-17T15:32:33.792366Z,TOU
run_20260217_222909-0018,user-010,EVSE-005,2026-02-17T00:01:13.536310Z,2026-02-17T00:21:13.536310Z,TOU
run_20260217_222909-0019,user-006,EVSE-036,2026-02-17T17:08:37.089399Z,2026-02-17T18:08:37.089399Z,TOU
run_20260217_222909-0020,user-005,EVSE-003,2026-02-17T09:28:02.702945Z,2026-02-17T10:08:02.702945Z,TOU
run_20260217_222909-0021,user-003,EVSE-024,2026-02-17T08:41:33.404201Z,2026-02-17T09:21:33.404201Z,TOU
run_20260217_222909-0022,user-003,EVSE-023,2026-02-17T13:40:06.428007Z,2026-02-17T14:00:06.428007Z,TOU
run_20260217_222909-0023,user-004,EVSE-027,2026-02-17T07:58:36.953321Z,2026-02-17T08:38:36.953321Z,TOU
run_20260217_222909-0024,user-006,EVSE-015,2026-02-17T05:12:21.806733Z,2026-02-17T06:12:21.806733Z,TOU
run_20260217_222909-0025,user-004,EVSE-017,2026-02-17T14:25:12.539452Z,2026-02-17T15:05:12.539452Z,TOU
run_20260217_222909-0026,user-005,EVSE-043,2026-02-17T23:03:54.578149Z,2026-02-18T00:18:54.578149Z,TOU
run_20260217_222909-0027,user-010,EVSE-045,2026-02-17T16:26:57.688267Z,2026-02-17T16:46:57.688267Z,TOU
run_20260217_222909-0028,user-003,EVSE-033,2026-02-17T19:22:45.015966Z,2026-02-17T20:22:45.015966Z,TOU
run_20260217_222909-0029,user-003,EVSE-003,2026-02-17T08:10:15.295632Z,2026-02-17T08:50:15.295632Z,TOU
run_20260217_222909-0030,user-008,EVSE-032,2026-02-17T09:18:45.928728Z,2026-02-17T09:38:45.928728Z,TOU
run_20260217_222909-0031,user-003,EVSE-030,2026-02-17T08:14:16.587840Z,2026-02-17T08:34:16.587840Z,TOU
run_20260217_222909-0032,user-004,EVSE-021,2026-02-17T01:57:50.590751Z,2026-02-17T02:17:50.590751Z,TOU
run_20260217_222909-0033,user-008,EVSE-018,2026-02-17T09:16:46.839313Z,2026-02-17T10:31:46.839313Z,TOU
run_20260217_222909-0034,user-009,EVSE-004,2026-02-17T22:02:58.090378Z,2026-02-17T22:32:58.090378Z,TOU
run_20260217_222909-0035,user-007,EVSE-025,2026-02-17T14:38:09.203386Z,2026-02-17T15:53:09.203386Z,TOU
run_20260217_222909-0036,user-007,EVSE-022,2026-02-17T06:36:10.728973Z,2026-02-17T07:36:10.728973Z,TOU
run_20260217_222909-0037,user-007,EVSE-040,2026-02-17T17:18:18.628409Z,2026-02-17T18:18:18.628409Z,TOU
run_20260217_222909-0038,user-003,EVSE-039,2026-02-17T12:37:04.324334Z,2026-02-17T12:57:04.324334Z,TOU
run_20260217_222909-0039,user-002,EVSE-046,2026-02-17T05:18:58.781034Z,2026-02-17T05:48:58.781034Z,TOU
run_20260217_222909-0040,user-010,EVSE-003,2026-02-17T07:24:30.914463Z,2026-02-17T07:54:30.914463Z,TOU
run_20260217_222909-0041,user-007,EVSE-028,2026-02-17T08:06:24.556165Z,2026-02-17T08:26:24.556165Z,TOU
run_20260217_222909-0042,user-008,EVSE-029,2026-02-17T07:00:28.533184Z,2026-02-17T08:00:28.533184Z,TOU
