session_id,ts,energy_kwh
run_20260217_222909-0001,2026-02-17T23:22:59.070749Z,0.0
run_20260217_222909-0001,2026-02-17T23:27:59.070749Z,0.616
run_20260217_222909-0001,2026-02-17T23:32:59.070749Z,1.313
run_20260217_222909-0001,2026-02-17T23:37:59.070749Z,1.857
run_20260217_222909-0001,2026-02-17T23:42:59.070749Z,2.343
run_20260217_222909-0001,2026-02-17T23:47:59.070749Z,2.997
run_20260217_222909-0001,2026-02-17T23:52:59.070749Z,3.63
run_20260217_222909-0001,2026-02-17T23:57:59.070749Z,4.271
run_20260217_222909-0001,2026-02-18T00:02:59.070749Z,4.879
run_20260217_222909-0002,2026-02-17T19:12:40.426981Z,0.0
run_20260217_222909-0002,2026-02-17T19:17:40.426981Z,0.939
run_20260217_222909-0002,2026-02-17T19:22:40.426981Z,1.976
run_20260217_222909-0002,2026-02-17T19:27:40.426981Z,2.897
run_20260217_222909-0002,2026-02-17T19:32:40.426981Z,3.804
run_20260217_222909-0002,2026-02-17T19:37:40.426981Z,4.769
run_20260217_222909-0002,2026-02-17T19:42:40.426981Z,5.552
run_20260217_222909-0002,2026-02-17T19:47:40.426981Z,6.44
run_20260217_222909-0002,2026-02-17T19:52:40.426981Z,7.402
run_20260217_222909-0002,2026-02-17T19:57:40.426981Z,8.399
run_20260217_222909-0002,2026-02-17T20:02:40.426981Z,9.293
run_20260217_222909-0002,2026-02-17T20:07:40.426981Z,10.245
run_20260217_222909-0002,2026-02-17T20:12:40.426981Z,11.184
run_20260217_222909-0002,2026-02-17T20:17:40.426981Z,12.172
run_20260217_222909-0002,2026-02-17T20:22:40.426981Z,12.987
run_20260217_222909-0002,2026-02-17T20:27:40.426981Z,13.956
run_20260217_222909-0003,2026-02-17T22:05:31.662886Z,0.0
run_20260217_222909-0003,2026-02-17T22:10:31.662886Z,1.556
run_20260217_222909-0003,2026-02-17T22:15:31.662886Z,3.121
run_20260217_222909-0003,2026-02-17T22:20:31.662886Z,4.707
run_20260217_222909-0003,2026-02-17T22:25:31.662886Z,6.287
run_20260217_222909-0003,2026-02-17T22:30:31.662886Z,7.987
run_20260217_222909-0003,2026-02-17T22:35:31.662886Z,9.947
run_20260217_222909-0003,2026-02-17T22:40:31.662886Z,11.817
