session_id,ts,energy_kwh
run_20260217_222547-0001,2026-02-17T17:33:32.692839Z,0.0
run_20260217_222547-0001,2026-02-17T17:38:32.692839Z,1.07
run_20260217_222547-0001,2026-02-17T17:43:32.692839Z,2.111
run_20260217_222547-0001,2026-02-17T17:48:32.692839Z,3.138
run_20260217_222547-0001,2026-02-17T17:53:32.692839Z,4.081
run_20260217_222547-0001,2026-02-17T17:58:32.692839Z,4.909
run_20260217_222547-0001,2026-02-17T18:03:32.692839Z,5.982
run_20260217_222547-0001,2026-02-17T18:08:32.692839Z,6.943
run_20260217_222547-0001,2026-02-17T18:13:32.692839Z,7.93
run_20260217_222547-0001,2026-02-17T18:18:32.692839Z,8.812
run_20260217_222547-0001,2026-02-17T18:23:32.692839Z,9.788
run_20260217_222547-0001,2026-02-17T18:28:32.692839Z,10.803
run_20260217_222547-0001,2026-02-17T18:33:32.692839Z,11.721
run_20260217_222547-0002,2026-02-17T22:18:22.630530Z,0.0
run_20260217_222547-0002,2026-02-17T22:23:22.630530Z,1.456
run_20260217_222547-0002,2026-02-17T22:28:22.630530Z,3.416
run_20260217_222547-0002,2026-02-17T22:33:22.630530Z,5.334
run_20260217_222547-0002,2026-02-17T22:38:22.630530Z,7.224
run_20260217_222547-0002,2026-02-17T22:43:22.630530Z,9.066
run_20260217_222547-0002,2026-02-17T22:48:22.630530Z,10.863
run_20260217_222547-0002,2026-02-17T22:53:22.630530Z,12.899
run_20260217_222547-0002,2026-02-17T22:58:22.630530Z,14.606
