session_id,expected_hash,computed_hash,match,batch_day,batch_root
run_20260217_224037-0001,0xbbbe01ecde8e11d14777b552fa2b41256ca40fa02cdd74fdb5b4d8cfe0bb9146,0xbbbe01ecde8e11d14777b552fa2b41256ca40fa02cdd74fdb5b4d8cfe0bb9146,True,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0002,0x1391b744e5b5228790feda2b71fc358e94612a829792b0b95f5dad8619e9a4a9,0x1391b744e5b5228790feda2b71fc358e94612a829792b0b95f5dad8619e9a4a9,True,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0003,0x6aa7e43ba15006170f0797ad8ec24cf9b4add5db40c286652a3f7e1b79b9e1b3,0x6aa7e43ba15006170f0797ad8ec24cf9b4add5db40c286652a3f7e1b79b9e1b3,True,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0004,0x04398da55dd4fd0dbe48b5909a0e77e01cb6f92863db8f1936516b35b1446960,0x04398da55dd4fd0dbe48b5909a0e77e01cb6f92863db8f1936516b35b1446960,True,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0005,0x8040ad87c1098a041a252a9d9f7180e3105b87e58895b2fff1909e018be965a3,0x8040ad87c1098a041a252a9d9f7180e3105b87e58895b2fff1909e018be965a3,True,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0006,0x70e434ad1737b1254a026f3b58681785157229c3689363c76a7283ba2496a827,0x70e434ad1737b1254a026f3b58681785157229c3689363c76a7283ba2496a827,True,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0007,0xe5ccef9ef186b35b266d4f75457ad1b0c4b8c343bd3328c55c372ac49a67bdd9,0xe5ccef9ef186b35b266d4f75457ad1b0c4b8c343bd3328c55c372ac49a67bdd9,True,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0008,0xb5d89dcb117983af4010bb8deea36b18c813393e4d17322361a00758260ef2d0,0xb5d89dcb117983af4010bb8deea36b18c813393e4d17322361a00758260ef2d0,True,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0009,0xed4a3ed5a1a126764f1eac4e64332cbb600c7a6f85c6834e25ba3eb1b447fb41,0xed4a3ed5a1a126764f1eac4e64332cbb600c7a6f85c6834e25ba3eb1b447fb41,True,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0010,0x814070d9b2de6cedf50c7acde4d0ea6d51592c74d8ebdf6d706218039c319841,0x814070d9b2de6cedf50c7acde4d0ea6d51592c74d8ebdf6d706218039c319841,True,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
