session_id,user_id,receipt_hash,merkle_root,energy_kwh,start_ts,end_ts,batch_day,batch_root
run_20260217_224037-0001,user-002,0xbbbe01ecde8e11d14777b552fa2b41256ca40fa02cdd74fdb5b4d8cfe0bb9146,0x5d4e6893d5e6045e9284bdb0515798893f069bc8190ec7b35c8663e85be3b646,4.879,2026-02-17T23:22:59.070749Z,2026-02-18T00:02:59.070749Z,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0002,user-009,0x1391b744e5b5228790feda2b71fc358e94612a829792b0b95f5dad8619e9a4a9,0xc3ca76bbcc14941c8ea3f3df93c88d6555925255c6783af517ca287b252df8c4,13.956,2026-02-17T19:12:40.426981Z,2026-02-17T20:27:40.426981Z,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0003,user-007,0x6aa7e43ba15006170f0797ad8ec24cf9b4add5db40c286652a3f7e1b79b9e1b3,0x8a4d9d39bc7f9ee81127f076c3cdcb1c6e9c41db52e5327070e1a9b3d33d4b40,13.632,2026-02-17T22:05:31.662886Z,2026-02-17T22:45:31.662886Z,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0004,user-007,0x04398da55dd4fd0dbe48b5909a0e77e01cb6f92863db8f1936516b35b1446960,0x90a6d9d5e05e086c57781be972b7b3569ba56c76c255110784338bde94cb00e7,4.882,2026-02-17T17:18:43.080691Z,2026-02-17T17:58:43.080691Z,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0005,user-005,0x8040ad87c1098a041a252a9d9f7180e3105b87e58895b2fff1909e018be965a3,0x18109062b926500fbf616dcf7f5536594218bb0b4ebfca8712176591237312f6,9.089,2026-02-17T00:14:05.182505Z,2026-02-17T01:29:05.182505Z,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0006,user-003,0x70e434ad1737b1254a026f3b58681785157229c3689363c76a7283ba2496a827,0x10c9f9e2fb38c9e1049fdcc2d1385f16c1b16175e55ada6547b2d8663b4d88fb,27.595,2026-02-17T18:03:51.383335Z,2026-02-17T19:18:51.383335Z,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0007,user-009,0xe5ccef9ef186b35b266d4f75457ad1b0c4b8c343bd3328c55c372ac49a67bdd9,0x067accc745f04f69c9bf9c61ed14e68dfb5f05c6bb614d6245d9cdd5eb4f7122,7.283,2026-02-17T03:19:28.633727Z,2026-02-17T03:39:28.633727Z,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0008,user-005,0xb5d89dcb117983af4010bb8deea36b18c813393e4d17322361a00758260ef2d0,0x2ea3d7baa93ad1a3ba5e6d886b5b9f9a4e1b0408d5ac53107977fd5da1490312,7.453,2026-02-17T13:32:56.282342Z,2026-02-17T14:32:56.282342Z,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0009,user-009,0xed4a3ed5a1a126764f1eac4e64332cbb600c7a6f85c6834e25ba3eb1b447fb41,0x9a3a6beca7e8cf7599028ebdcdf5985235771aa055187616175c93827ad93d36,13.965,2026-02-17T01:56:22.162084Z,2026-02-17T03:11:22.162084Z,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0010,user-009,0x814070d9b2de6cedf50c7acde4d0ea6d51592c74d8ebdf6d706218039c319841,0x744ad5e69b832af90318cc864d417c539413b719652985605152b3822ad1354f,27.702,2026-02-17T20:01:13.030745Z,2026-02-17T21:16:13.030745Z,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0011,user-001,0x69a114be1818f47c73764b6f3bcb09f66a8ebeed727359ff797800dde4edc256,0xd6591f87994a2077b0f5daf7349a9a94980675bc0ead2c3c5b7f7b26efbe780d,3.79,2026-02-17T18:29:19.429879Z,2026-02-17T18:49:19.429879Z,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
run_20260217_224037-0012,user-010,0x3c37cff309d8a5fafac725bf27a9da5e1aebf96d7f9599e3c2468dea3638d8c3,0x9f704ffbcd1f163bbb096b6cf60c6d62c695633648e8ea1368dd7cd88da4d7a2,5.454,2026-02-17T10:09:15.313464Z,2026-02-17T10:39:15.313464Z,2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0
